"name","B"
"Tommy Sheehan","L"
"TJ Sikkema","L"
"Davis Sims","R"
"Carson Spiers","R"
"Mitchell Stone","L"
"Kyle Stowers","L"
"Spencer Strider","R"
"Zach Stromberg","L"
"Matt Trehub","L"
"Alexander Volpi","R"
"Matt Wallner","L"
"Taylor Wilkes","R"
"Steven Williams","L"
"RJ Yeager","R"
"Jake Agnos","L"
"Justin Ammons","L"
"Tyler Baum","R"
"Michael Bienlien","R"
"Peter Bovenzi","R"
"Jacob Bradley","R"
"Kyle Brnovich","L"
"Ty Buckner","R"
"Mitch Calandra","R"
"Danny Casals","R"
"Jon Clines","L"
"Matt Cronin","L"
"Xzavion Curry","R"
"Ricky DeVito","S"
"Brad Debo","L"
"Brian Dempsey","R"
"Jack Dreyer","R"
"Logan Driscoll","L"
"Nate Eikhoff","L"
"Rob Emery","R"
"Caleb Freeman","R"
"Chris Galland","R"
"Ramon Garza","R"
"Ray Gil","R"
"Gage Gillian","R"
"Jackson Gillis","R"
"Matt Gorski","R"
"Jordan Greene","R"
"Zack Hess","R"
"George Kirby","R"
"Cal Krueger","R"
"Joe La Sorsa","L"
"Andre Lipcius","R"
"Will Matthiessen","R"
"Mason Meadows","R"
"Andrew Misiaszek","R"
"Kyle Mora","R"
"Tanner Morris","L"
"Kyle Murphy","R"
"Ben Norman","L"
"Steven Passatempo","R"
"Garrett Pearson","R"
"Danny Poidomani","L"
"Nick Rand","R"
"Gabe Rivera","R"
"Christian Santana","R"
"Luke Scherzer","R"
"Kyle Schmidt","R"
"Aaron Schunk","R"
"Ben Shields","L"
"Garrett Stallings","R"
"John Stanton","R"
"Tom Sutera","L"
"Alex Tappen","R"
"Cam Thompson","L"
"Zach Watson","R"
"Jacob Westphal","R"
"Will Wilson","R"
"Austin Wood","R"
"rob emery","R"
"rob emery","R"
"Matthew Barefoot","R"
"Braden Comeaux","R"
"Nick Derr","R"
"Griffin Dey","R"
"Connor Donahue","L"
"Adam Elliott","L"
"Wes Engle","L"
"Jordan Fowler","L"
"A.J. Franklin","L"
"Taylor Garris","R"
"Michael Geaslen","R"
"Seth Gray","L"
"Colin Hall","L"
"Trevor Hauver","R"
"William Holland","R"
"Gavin Hollowell","R"
"Keegan James","R"
"Tommy Jew","R"
"Kyle Kemp","R"
"Hayden Kettler","R"
"Zach Kohn","R"
"Michael Kreiger","R"
"Brandon LaManna","R"
"Thomas Lane","L"
"Brady Lindsly","L"
"Todd Lott","R"
"Nicholas MacDonald","R"
"Travis Marr","R"
"Matthew Marsili","R"
"Dom Masullo","R"
"Liam McGill","R"
"Mitch McIntyre","L"
"Mike Mokma","R"
"Tyler Myrick","R"
"Pedro Pages","R"
"Vinnie Pasquantino","R"
"Anthony Pecora","R"
"Ryan Pepiot","R"
"Jacques Pucheu","L"
"Casey Queener","R"
"Joseph Quintal","R"
"Jeremy Randolph","R"
"Eric Rivera","R"
"Houston Roth","R"
"Brett Schulze","R"
"Riley Self","R"
"Chris Stefl","R"
"Dylan Thomas","L"
"Parker Towns","R"
"Alec Trela","R"
"Brian Weissert","R"
"Davis Wendzel","R"
"Kyle Wilkie","R"
"Andrew Abbott","L"
"Carter Aldrete","R"
"JJ Bleday","L"
"Alex Brickman","R"
"Tyler Brown","R"
"Philip Clarke","L"
"Pat DeMarco","R"
"Anthony DiMeglio","R"
"Adam Erickson","R"
"Matt Fraizer","L"
"James Free II","S"
"Corey Gaconi","R"
"Alex Gamache","R"
"Sal Gozzo","S"
"Jaxx Groshans","R"
"Lucas Hall","L"
"Josh Hendrickson","L"
"Elijah Herrick","L"
"Isaiah Kearns","R"
"Kevin Kelly","R"
"Carlisle Koestler","R"
"Zac Kristofak","R"
"Joey Lancellotti","R"
"Justin Lavey","R"
"Michael Mahony","R"
"Andrew Martinez","R"
"Ricky Martinez","R"
"Quincy McAfee","R"
"Eddie McCabe","R"
"Kade Mechals","R"
"Kevin Milam","R"
"Erik Miller","L"
"Aaron Ochsenbein","R"
"Riley Ornido","R"
