"name","B"
"Ryan Avidano","L"
"Matthew Beck","R"
"Hunter Bishop","R"
"Sam Bordner","R"
"Robert Broom","R"
"Martin Costes","R"
"Michael Curry","R"
"Ryan Cyr","R"
"Davis Daniel","R"
"Kyle Datres","R"
"Joe DeMers","R"
"Troy Dixon","R"
"Nicholas Dunn","R"
"Devin Foyle","L"
"Zack Gahagan","R"
"Michael Gasper","R"
"Chris Givin","R"
"AJ Graffanino","R"
"Connor Higgins","L"
"Darius Hill","L"
"Julian Infante","R"
"Stephen Jones","R"
"Justin Kunz","R"
"Zach Linginfelter","R"
"Tony Locey","R"
"ChristopheP Machamer","R"
"J.R. McDermott","R"
"Shane McDonald","L"
"Conor McNamara","R"
"Troy Miller","R"
"Paul Milto","R"
"Joe Molettiere","R"
"Christian Molfetta","R"
"Andrew Pagnozzi","R"
"Anthony Prato","R"
"Cj Pruitt","R"
"Drew Reveno","R"
"Zach Schneider","R"
"Pete Schuler","R"
"Connor Smith","R"
"Bradley Spooner","R"
"Jonathan Stiever","R"
"Travis Swaggerty","L"
"Chandler Taylor","L"
"Cesar Trejo","R"
"William Tribucher","L"
"Steele Walker","R"
"Taylor Williams","R"
"John Aiello","R"
"DJ Artis","L"
"Kyle Baker","R"
"Jeff Belge","L"
"Austin Bergner","R"
"Cameron Bishop","L"
"Bobby Brennan","R"
"Bo Burrup","L"
"Donovan Casey","R"
"Jack DeGroat","R"
"Austin Edens","R"
"RJ Freure","R"
"Josiah Gray","R"
"Dan Hammer","R"
"Ryan Hedrick","R"
"Adam Hill","R"
"Jr., Hutchison","R"
"Landon Kay","R"
"Reiss Knehr","L"
"Mason Koppens","R"
"Shea Langeliers","R"
"Justin Lasko","R"
"Joseph Lienhard","R"
"Taylor Luciani","R"
"Colby Maiola","L"
"John Mazza","R"
"Ashton McGee","R"
"Daniel Metzdorf","L"
"Eli Nabholz","R"
"Jacob Olson","R"
"Andre Pallante","R"
"Jake Palomaki","R"
"Nick Patten","R"
"Fabian Pena","R"
"Jeremy Pena","R"
"Jack Perkins","R"
"Antonio Ralat","R"
"Nick Rand","R"
"Cody Roberts","R"
"Josh Shaw","R"
"John Signore","R"
"Nick Silva","R"
"Jacob Stevens","R"
"Josh Stowers","R"
"Jimmy Titus","R"
"Adam Wolf","L"
"Luke Alexander","S"
"Joshua Andrews","L"
"Chandler Avant","R"
"Mitchell Bigras","L"
"Jason Bilous","R"
"Michael Byrne","R"
"Chase Cohen","L"
"Zane Collins","L"
"Griffin Conine","L"
"Clark Cota","R"
"John Cresto","R"
"Noah Davis","R"
"Christian Demby","R"
"Thomas Dillard","S"
"Harrisen Egly","L"
"Jacob Erickson","L"
"Collin Fleischer","R"
"Daniel Gardner","L"
"Keyton Gibson","R"
"Ivan Gonzalez","R"
"Alex Hanson","R"
"Justin Hooper","R"
"David Inman","R"
"Greyson Jenista","L"
"Kyle Kemp","R"
"Dylan King","R"
"Brett Kinneman","L"
"Austin Kitchen","R"
"Zack Kone","R"
"Taylor Lehman","L"
"Miles Lewis","S"
"Gian Martellini","R"
"Mark Moclair","R"
"Matthew Pita","R"
"Brian Rapp","R"
"Blake Reese","S"
"Josh Rolette","L"
"Stephen Schoch","R"
"Adam Scott","L"
"Luke Shilling","R"
"Chase Shugart","L"
"Seth Shuman","R"
"Mitch Stallings","L"
"Ako Thomas","R"
"Michael Toglia","S"
"Andrew Turner","R"
"Jayce Vancena","R"
"Terrin Vavra","L"
"Derrick Adams","L"
"Marty Bechina","R"
"Austin Biggar","R"
"Ellis Bitar","R"
"Tyler Blohm","L"
"Alec Bohm","R"
"Kyle Bradish","R"
"Joshua Breaux","R"
"Willie Burger","R"
"Tanner Burns","R"
"Luke Corbin","S"
"Clayton Daniel","R"
"Logan Davidson","S"
"Zeke Dodson","R"
"Connor Eason","L"
"William Ethridge","R"
"Dalton Feeney","R"
"Durbin Feltman","R"
"Chris Fowler","L"
"Israel Fuentes","R"
"Brian Gadsby","R"
"Jordan Gubelman","R"
"Ignacious Janca","R"
"Ian Koch","R"
"Austin Langworthy","L"
"Trevor Larnach","L"
"Zachary Leban","R"
"Ryan Leckich","S"
"Deacon Liput","L"
"James McArthur","R"
"Parker McFadden","R"
"Jacson McGowan","R"
"Matt Mercer","R"
"Mitchell Miller","L"
"Matthew Murphy","R"
"Cameron ONeill","R"
"Jack Pabich","R"
"Robbie Peto","R"
"Scott Politz","R"
"Thomas Ponticelli","R"
"Adley Rutschman","S"
"Cole Sands","R"
"Cody Shelton","R"
"Lee Solomon","R"
"Hunter Steinmetz","L"
"Joshua Watson","S"
"Dale Wickham","L"
"Ryan Zeferjahn","R"
"Jake Agnos","L"
"Cole Aker","R"
"Peyton Alford","L"
"Joey Bart","R"
"Tyler Baum","R"
"Jacob Billingsley","R"
"Logan Browning","L"
"Max Burt","R"
"Brian Christian","R"
"Nick Dalesandro","R"
"Cullen Dana","L"
"Bradley Debo","R"
"Antoine Duplantis","L"
"Jake Farrell","R"
"Matthew Frisbee","R"
"Christopher Gau","R"
"Dylan Grove","R"
"Austin Hansen","R"
"Tim Herrin","L"
"Jonathan India","R"
"Cal Krueger","R"
"Jake McCarthy","L"
"Owen Miller","R"
"Travis Moniot","R"
"Andrew Moritz","R"
"Kyler Murray","R"
"Justin Novak","R"
"Ryne Ogren","R"
"Mitchell Powers","R"
"Zach Reid","L"
"Theodore Rodliff","L"
"Jamie Sara","R"
"Cameron Simmons","R"
"Josh Smith","R"
"Noah Song","R"
"Chris Vallimont","R"
"Cobie Vance","R"
"Jordan Verdon","R"
"Matt Vierling","R"
"DwaOF Williams-Sutton","R"
"John Witkowski","R"
"Trysten Barlow","L"
"Michael Brettell","R"
"Wyatt Burns","R"
"Micah Coffey","L"
"Ricky Constant","L"
"Kevin Coulter","R"
"Brooks Crawford","R"
"Griffin Dey","R"
"Dominic DiCaprio","R"
"Brendan Donovan","L"
"Austin Drury","L"
"Tyler Frank","R"
"Ryley Gilliam","R"
"Connor Green","R"
"Reece Hampton","S"
"Chase Haney","R"
"James Harrington","L"
"Ismael Herrera","R"
"MD Johnson","R"
"Dakota Julylia","R"
"Kevin Kernan","L"
"Ethan Larrison","R"
"Reid Leonard","R"
"Jake Mangum","S"
"Jordan Martinson","L"
"Matthew Mervis","L"
"Cole Murphy","L"
"Robert Neustrom","L"
"Ryan Olenek","R"
"Chris Proctor","L"
"Ford Proctor","L"
"Ryan Rigby","R"
"Daniel Robinson","L"
"Thomas Russo","L"
"Blake Sanderson","R"
"Nick Sandlin","R"
"Brandt Stallings","R"
"Connor Stephens","L"
"Marc Stewart","R"
"Hunter Stovall","R"
"Joseph Sullivan","L"
"Nick Swan","R"
"Cesar Trejo","R"
"Christian Tripp","R"
"Davis Vainer","R"
"Tyler Vaughn","R"
"Ryan Weiss","R"
"Dallas Woolfolk","R"
"Cole Austin","R"
"Canaan Cropper","R"
"Brett Daniels","R"
"Chandler Day","R"
"Cody Deason","R"
"Niko Decolati","R"
"Logan Gilbert","R"
"Jackson Goddard","R"
"Romy Gonzalez","R"
"Pre, Grand","R"
"Jaxx Groshans","R"
"Austin Hale","R"
"Jimmy Herron","R"
"Josh Hiatt","R"
"JT Hintzen","R"
"Jeff Houghtby","L"
"Cooper Johnson","R"
"Parker Kelly","R"
"Daniel Lynch","L"
"Devin Mann","R"
"Joey Murray","L"
"Lars Nootbaar","L"
"Ryan Orr","R"
"Steven Passatempo","R"
"Ethan Paul","L"
"Brandon Riley","L"
"Ryan Rolison","R"
"Cesar Salazar","L"
"Stephen Scott","L"
"Brandon Shearer","L"
"Kevin Smith","R"
"Graeme Stinson","L"
"Kevin Strohschein","R"
"Taylor Sugg","R"
"Riley Thompson","L"
"Bryce Tucker","S"
"Brooks Wilson","L"
"Jake Wong","R"
"John Amendola","L"
"Jake Anchia","R"
"Nick Angelini","R"
"Ben Baird","R"
"Frankie Bartow","R"
"Luke Bonfield","R"
"Jordan Britton","L"
"Blakely Brown","R"
"Brad Case","R"
"Brett Conine","R"
"Peyton Culbertson","R"
"Giovanni Dingcong","R"
"Tanner Dodson","S"
"Joe Drpich","L"
"Jarren Duran","L"
"Nate Fassnacht","R"
"Mason Feole","L"
"Riley Gates","L"
"Franklin German","R"
"Justin Glover","L"
"Justin Hagenman","R"
"Aaron Hernandez","R"
"Miller Hogan","R"
"Ben Johnston","R"
"Kyle Kasser","L"
"Kyle Knauth","L"
"Steven Kwan","L"
"Brandon Lockridge","R"
"Barrett Loseke","R"
"Willie MacIver","R"
"Joey Matulovich","R"
"Robert Metz","R"
"Justin Montgomery","R"
"John Murphy","R"
"Will Neely","R"
"Samuel Nepiarsky","R"
"Ben Olson","L"
"Tristan Pompey","S"
"Darrien Ragins","L"
"Dalton Roach","R"
"Griffin Roberts","R"
"Andrew Ryan","R"
"Blake Sabol","L"
"Andrew Shadid","R"
"Cody Smith","R"
"Cody Smith","R"
"FitzpatrickP Stadler","R"
"Randy Taveras","R"
"John Toppa","R"
"Chris Weiss","R"
"Chris Weiss","R"
"Brendan White","S"
"Grant Wolfram","L"
"Noah Zavolas","R"
"Garrett Zech","R"
"Daniel Amaral","R"
"Cameron Beauchamp","L"
"Karl Blum","R"
"Tim Brennan","R"
"Kris Bubic","L"
"Michael Cassala","R"
"Charlie Concannon","R"
"Carlos Cortes","R"
"Kole Cottam","R"
"Jake Crawford","R"
"Andrew Daschbach","R"
"Jonah Davis","R"
"Domenic DeRenzo","R"
"TylSS Depreta-Johnson","R"
"Justin Friedman","R"
"Nick Gallagher","R"
"Tanner Graham","R"
"Hogan Harris","L"
"Edward Haus","R"
"Tommy Henry","L"
"Nico Hoerner","R"
"Kyle Isbel","R"
"Cooper Johnson","R"
"Connor Kaiser","R"
"Karl Kauffmann","R"
"Christian Koss","R"
"AUBREY MCCARTY","R"
"Cody Martin","R"
"Riley McCauley","R"
"Alex McKenna","R"
"Josh McMinn","R"
"Drew Mendoza","R"
"Nick Meyer","R"
"Luke Miller","R"
"Brendan Nail","L"
"BRETT POPE","R"
"Hunter Parsons","R"
"Carter Pharis","R"
"Andrew Quezada","R"
"Nicholas Quintana","R"
"Alfonso Rivas","L"
"John Rooney","L"
"Grant Schuermann","L"
"Christopher Sharpe","R"
"Jake Slaughter","R"
"Dylan Stock","R"
"Brent Teller","R"
"Troy Terzi","R"
"Darren Trainor","R"
"Scoyoc, Van","L"
"Jacob Wloczewski","R"
"Sean Wymer","R"
"duke kinamon","R"
